,,,,,Numeric Datatype,,,,Date Datatype,,,Pre added Options Datatype,,,,,,
Page Name,Field Name,Data Type,Mandatory (default No),User entered / System generated,"

Allow Negative values","

Allow Decimal?",Max and Min Limit,"Unit (In kg, INR, ml etc)",Allow Current Date?,Allow Future Date?,Allow Past Date?,Pre added Options Selection Type,OPTIONS (needed for Single Select and Multi Select),Unique option for multi-select (nothing else can be selected when this option is chosen. e.g. None),Option condition/Validation,When to show (do not specify if to be shown always),When NOT to show (do not specify if to be shown always),
Anemia Follow up,Height,Numeric,Yes,User entered ,No,No,,,,,,,,,,,,
Anemia Follow up,Weight,Numeric,Yes,User entered ,No,No,,,,,,,,,,,,
Anemia Follow up,Hemoglobin (Hb),Numeric,Yes,User entered ,No,No,"Men: 13.5–17.5 g/dL

Women: 12.0–15.5 g/dL",,,,,,,,,,,Pending for max and min limit
Anemia Follow up,HT (M),Numeric,Yes,User entered ,No,No,,,,,,,,,,,,
Anemia Follow up,Supplements given,Pre added Options ,Yes,User entered ,,,,,,,,Multi Select,"Iron tablet, Srup, Nutrition advice, None",None,,,,
Anemia Follow up,Required Referal,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,"Yes
No",,,,,
Anemia Follow up,Place of Referal,Text,Yes,User entered ,,,,,,,,,,,,,,
Anemia Follow up,Required Follow Up,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,"Yes
No",,,,,
Anemia Follow up,Date of followup,Date,Yes,User entered ,,,,,No,,No,,,,,,,
