,,,,,Numeric Datatype,,,,Date Datatype,,,Pre added Options Datatype,,,,,
Page Name,Field Name,Data Type,Mandatory (default No),User entered / System generated,"

Allow Negative values","

Allow Decimal?",Max and Min Limit,"Unit (In kg, INR, ml etc)",Allow Current Date?,Allow Future Date?,Allow Past Date?,Pre added Options Selection Type,OPTIONS (needed for Single Select and Multi Select),Unique option for multi-select (nothing else can be selected when this option is chosen. e.g. None),Option condition/Validation,When to show (do not specify if to be shown always),When NOT to show (do not specify if to be shown always)
Gender Equality and Adolescent Girls,Girls feel safe in community,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Always; Sometimes; Never,,,,
Gender Equality and Adolescent Girls,Freedom in education/marriage decisions,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Complete; Partial; None,,,,
Gender Equality and Adolescent Girls,Family support for girls’ education,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Always; Sometimes; Never,,,,
Gender Equality and Adolescent Girls,Belief in gender equality,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Agree; Disagree; Neutral,,,,
Gender Equality and Adolescent Girls,Boys/men involved in household support tasks,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Always; Sometimes; Never,,,,
Gender Equality and Adolescent Girls,Participation in community/social activities,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Daily; Weekly; Monthly; Never,,,,
Health and Wellbeing,General health of adolescents,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Excellent; Good; Fair; Poor,,,,
Health and Wellbeing,Major health issues present,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Yes; No,,,,
Health and Wellbeing,Type of health issues,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Reproductive; Bone/Joint; Digestive; Respiratory; Mental Health,When 'Yes' selected,,None,
Health Services and Awareness,Primary health access point,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,PHC; Private Clinic; Traditional Healer; None,,,,
Health Services and Awareness,Awareness of government health schemes,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Yes; No,,,,
Health Services and Awareness,Received reproductive health education,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Yes; No; Not sure,,,,
Menstrual Health and Hygiene,Age of first awareness,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Numeric ,,,,
Menstrual Health and Hygiene,Use of home/traditional remedies,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Yes; No,,,,
Menstrual Health and Hygiene,Type of remedies used,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Local drinks (e.g. Bovonto); Herbal; Other,When 'Yes' selected,,None,
Menstrual Health and Hygiene,Access to menstrual facilities in school,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Yes; No,,,,
Menstrual Health and Hygiene,Comfort discussing reproductive issues,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Very comfortable; Somewhat; Not comfortable,,,,
Violence Against Women and Girls,Experience of violence,Pre added Options ,Yes,User entered ,,,,,,,,Single Select,Yes; No,,,,
Violence Against Women and Girls,Type of violence experienced,Pre added Options ,Yes,User entered ,,,,,,,,Multi Select,Physical; Emotional; Sexual Harassment; Forced Marriage; Trafficking,When 'Yes' selected,,None,
Violence Against Women and Girls,Reporting channels used,Pre added Options ,Yes,User entered ,,,,,,,,Multi Select,Family; Friends; Teachers; Police; NGO; None,When 'Yes' selected,,None,
