Reviewer Name,Reviewer 1,,Reviewer 2,
Review item,Pass/Fail,Comments,Pass/Fail,Comments
Is the Project Summary complete?,,,,
Are the user personas defined completely?,,,,
Is everyone in the Who part of the W3H present in the user personas?,,,,
Are there user personas not using the system? Is it clear why they are not using the system today?,,,,
Is every line in the W3H supported by a form?,,,,
Is every form present in the W3H?,,,,
Are all forms complete?,,,,
Are you able to make sense out of the W3H?,,,,
Are reports mentioned in the SRS?,,,,
Do the reports look doable based on the structure of the SRS?,,,,
Does the SRS look good to take forward for estimation and implementation?,,,,
