list_name,name,label,order
oo21c07,Padma,Padma,
oo21c07,Sudarshan,Sudarshan,1
oo21c07,Vishakha,Vishakha,2
oo21c07,Lalita,Lalita,3
oo21c07,Kajal,Kajal,4
oo21c07,Jayesh,Jayesh,5
oo21c07,Ragini,Ragini,6
oo21c07,Trishala,Trishala,7
oo21c07,Dinesh,Dinesh,8
oo21c07,seema,Seema,9
oo21c07,ankita,Ankita,10
oo21c07,varsha,Varsha,11
oo21c07,others,Others,12
hc7ws63,kotak_rural_phase_2,Kotak Rural Phase-2,
pz7zy82,Madhya_Pradesh,Madhya Pradesh,
pz7zy82,maharashtra,Maharashtra,
pz7zy82,delhi,Delhi,
pz7zy82,others,Others,
yp2hz92,rural_area,Rural Area,
yp2hz92,peri_urban,Peri Urban Area,
yp2hz92,others,Others,
uw7ek55,Zone-1_(Indore),Zone-1 (Indore),
uw7ek55,Zone-2_(Khandwa),Zone-2 (Khandwa),1
uw7ek55,Zone-3_(Ujjain),Zone-3 (Ujjain),2
uw7ek55,Zone-4_(Dhar_/Barwani),Zone-4 (Dhar /Barwani),3
uw7ek55,Zone-5_(Dhule),Zone-5 (Dhule),4
uw7ek55,Zone-6_(Nandurbar),Zone-6 (Nandurbar),5
uw7ek55,others,Others,6
zd9nm16,male,Male,
zd9nm16,female,Female,
zd9nm16,others,Others,
wg4ek00,cloth,Cloth,
wg4ek00,kirana,Kirana,1
wg4ek00,bioproducts,BioProducts,2
wg4ek00,food,Food,3
wg4ek00,artisan,Artisan,4
wg4ek00,tailor,Tailor,5
wg4ek00,laundry,Laundry,6
wg4ek00,livestock,Livestock,7
wg4ek00,consumergoods,ConsumerGoods,8
wg4ek00,Footwear,Footwear,9
wg4ek00,Beautician,Beautician,10
wg4ek00,cutlery_(Fancy_Items),Cutlery (Fancy Items),11
wg4ek00,Agriculture2,Agriculture,12
wg4ek00,CSC,CSC,13
wg4ek00,others,Others,14
cd4gf09,yes,Yes,
cd4gf09,no,No,
vh3pj83,yes,Yes,
vh3pj83,no,No,
yg28x35,yes,Yes,
yg28x35,no,No,
it6yg07,yes,Yes,
it6yg07,no,No,
rg5vu15,owned,Owned,
rg5vu15,rented,Rented,
vz9bs41,shop,Shop,
vz9bs41,fixed_cart,Fixed Cart,
vz9bs41,mobile_cart,Mobile Cart,
vz9bs41,stand,Stand,
vz9bs41,home,Home,
vz9bs41,other,Other,
hl3or19,yes,Yes,
hl3or19,no,No,
ih06p56,below_10th_grade,Below 10th Grade,
ih06p56,10th_grade,10th Grade,
ih06p56,12th_grade,12th Grade,
ih06p56,diploma,Diploma,
ih06p56,bachelor_s_degree,Bachelor’s Degree,
ih06p56,master_s_degree,Master’s degree,
ih06p56,doctoral_degree,Doctoral degree,
ih06p56,others,Others,
lk1mf89,yes,Yes,
lk1mf89,no,No,
yv7mj02,yes,Yes,
yv7mj02,no,No,
uk7dq78,yes,Yes,
uk7dq78,no,No,
me8gz37,yes,Yes,
me8gz37,no,No,
ec5lx79,yes,Yes,
ec5lx79,no,No,
xr7pw24,yes,Yes,
xr7pw24,no,No,
qq5tt82,yes,Yes,
qq5tt82,no,No,
tv7na48,yes,Yes,
tv7na48,no,No,
pj9sg47,yes,Yes,
pj9sg47,no,No,
wv1dy00,yes,Yes,
wv1dy00,no,No,
za1au23,yes,Yes,
za1au23,no,No,
gb6qi68,yes,Yes,
gb6qi68,no,No,
hd6by41,yes,Yes,
hd6by41,no,No,
xy5ah83,yes,Yes,
xy5ah83,no,No,
py8ai49,yes,Yes,
py8ai49,no,No,
qq0hm91,padma,Padma,
qq0hm91,sudharsan,Sudharsan,
qq0hm91,ankush,Ankush,
pf2ny54,yes,Yes,
pf2ny54,no,No,
rt3wu05,krishnan,Krishnan,
rt3wu05,asit,Asit,1
rt3wu05,manager_1,Manager-1,2
js16u49,active,Active,
js16u49,inactive,Inactive,
rx9rp30,individual,Individual,
rx9rp30,group_shg,Group/SHG,
