type,name,label,hint,required,relevant,appearance,calculation,constraint,constraint_message,parameters
start,start,,,,,,,,,
end,end,,,,,,,,,
username,username,,,,,,,,,
begin_group,Survey_Details,Survey Details,,false,,,,,,
select_one oo21c07,Enumerator_Name,Enumerator Name,,true,,,,,,
text,Enumerator_name_Entered,Enter Enumerator name manually,,true,${Enumerator_Name} = 'others',,,,,
select_one hc7ws63,Project_Phase,Project Phase,,true,,,,,,
select_one pz7zy82,Survey_Location,Survey Location,,true,,,,,,
text,Mention_the_state_name,Mention the state name,,true,${Survey_Location} = 'others',,,,,
select_one yp2hz92,Survey_Region_Type,Survey Region Type,,true,,,,,,
text,Mention_the_Region_Type,Mention the Region Type,,true,${Survey_Region_Type} = 'others',,,,,
select_one uw7ek55,Survey_Zone,Survey Zone,,true,,,,,,
text,Mention_the_zone,Mention the zone,,true,${Survey_Zone} = 'others',,,,,
text,Vyapaari_Village_Name,Vyapaari Village Name,,true,,,,,,
end_group,,,,,,,,,,
begin_group,group_zy0zg27,First Contact Details,,false,,,,,,
begin_group,group_ss62k10,Basic Vyapaari Details,,false,,,,,,
date,First_Contact_Date,Vyapaari First Contact Date,,true,,,,,,
text,Vyapaari_Name,Vyapaari Full Name,,true,,,,,,
text,Bussiness_Partner_Name,Vyapaari Bussiness Partner Name (if any),,false,,,,,,
geopoint,Vyapaari_Location,Vyapaari Location,,true,,,,,,
select_one zd9nm16,Vyapaari_Gender,Vyapaari Gender,,true,,,,,,
select_one wg4ek00,Bussiness_Type,Vyapaari Primary Bussiness Type,,true,,,,,,
text,Mentioned_Bussiness_Type_prim,Mention the Bussiness Type,,true,${Bussiness_Type} = 'others',,,,,
select_one cd4gf09,Secondary_Business,Does the vyapaari have a secondary business ?,,true,,,,,,
select_one wg4ek00,Secondary_Bussiness_Type,"If Yes, Vyapaari Secondary Bussiness Type",,true,${Secondary_Business} = 'yes',,,,,
text,Mention_Secondary_business_typ,Mention Secondary business type,,true,${Secondary_Bussiness_Type} = 'others',,,,,
integer,Approximate_Baseline_Income,Approximate Baseline Income,Calculate the Income (Revenue-Expense),true,,,,,,
select_one vh3pj83,Does_the_vyapaari_satisfy_the_,Does the vyapaari satisfy the onboarding criteria?,,true,,,,,,
select_one yg28x35,If_No_Are_we_still_onboarding,"If No, Are we still onboarding the vyapaari?",,true,${Does_the_vyapaari_satisfy_the_} = 'no',,,,,
select_one it6yg07,Is_the_Vyapaari_being_Onboarde,Is the Vyapaari being Onboarded now?,,true,${Does_the_vyapaari_satisfy_the_} = 'yes' or ${If_No_Are_we_still_onboarding} = 'yes',,,,,
text,Not_Onboarding_Reason,"If No, mention the reasons?",,true,${Is_the_Vyapaari_being_Onboarde} = 'no',,,,,
end_group,,,,,,,,,,
end_group,,,,,,,,,,
begin_group,group_business_details,Primary Business Onboarding Details,,false,${Is_the_Vyapaari_being_Onboarde} = 'yes',field-list,,,,
calculate,uvr_id,,,false,,,"once(concat('UVR', substr(string(int(round(random() * 8999 + 1000))), 0, 4)))",,,
note,Vyapaari_ID_uvr_id,Vyapaari ID :${uvr_id},,false,,,,,,
