type,name,label,hint,required,relevant,constraint,constraint_message,parameters,appearance
start,start,,,,,,,,
end,end,,,,,,,,
today,today,,,,,,,,
username,username,,,,,,,,
begin_group,surveyor_details,Survey Details,,false,,,,,
select_one fk5ib99,Saathi_Name,Saathi Name ,,true,,,,,
text,Other_Saathi_name,Enter the name of the Saathi.,,true,${Saathi_Name} = 'others',,,,
select_one qu8un16,Surveyor_Location,Survey Location,,true,,,,,
text,Other_location,Enter survey location:,,true,${Surveyor_Location} = 'other',. = '',,,
select_one gi6dk24,Survey_District,Survey District,,true,,,,,
text,Mention_the_survey_district,Mention the survey district,,true,${Survey_District} = 'others',,,,
select_one uy9wl27,Project_Funder,Project Funder,,true,,,,,
text,Enter_the_Project_Funder,Enter the Project Funder,,true,${Project_Funder} = 'others',,,,
end_group,,,,,,,,,
begin_group,group_vyapaari_details,Vyapaari Details,,false,,,,,
text,Vyapaari_Name,Vyapaari Full Name,Enter both first and last name.,true,,,,,
text,vyapaari_phone_number,Vyapaari Phone Number,,false,,"regex(., '^[0-9]{10}$')",Please enter a 10 digit phone number.,,
text,alternative_number,Vyapaari Alternative Phone Number,,false,,"regex(., '^[0-9]{10}$')",Please enter a 10 digit phone number.,,
image,Vyapaari_Photograph,Vyapaari Photograph,Photograph should include vyapaari and the shop.,false,,,,max-pixels=1024,
select_one lw1ab88,Vyapaari_Gender,Vyapaari Gender,,true,,,,,
integer,Vyapaari_Age,Vyapaari Age,,false,,. <= 99,,,
geopoint,Vyapaari_Location,Vyapaari Location,,true,,,,,
integer,Vyapaari_Pincode,Vyapaari Pincode,,true,,,,,
text,Vyapaari_Ward_Area,Vyapaari Area / Ward,,true,,,,,
date,Pitching_Date,Pitching Date,,true,,,,,
select_one gt3wv48,Enter_Pitch_Details,Enter Pitch Details,,true,,,,,
select_multiple mt4da19,Not_Interested_inPitching,"If No, mention the reason why the vyapaari is not interested in Pitching",,true,${Enter_Pitch_Details} = 'no',,,,
text,Specify_the_other_reasons,Specify the other reasons,,true,"selected(${Not_Interested_inPitching}, 'others__specify_')",,,,
end_group,,,,,,,,,
begin_group,group_tv1sc19,Pitch Details,,false,${Enter_Pitch_Details} = 'yes',,,,
select_one de7cw56,Vyapaari_Shop_Type,Vyapaari Shop Type,,true,,,,,
text,type_of_shop,Mention the Type of Shop,,true,${Vyapaari_Shop_Type} = 'other__specify_manually',,,,
integer,business_experience,Total Press / Ironing Business Experience,,true,,,,,
select_multiple bx5qd38,_Iron_Box_Type,Type of Press / Iron boxes used.,Select all options that apply.,true,,,,,
text,vyapaari_box_retailer,Where did the vyapaari  buy the press / iron box?,"Retailer or distributor name, contact and location.",true,,,,,multiline
date,Last_press_iron_box_purchase_date,Last press / iron box purchase date.,Month and Year of last press / iron box purchase,false,,,,,month-year
select_one ce3kp87,Vyapaari_lpg_awareness,Has the vyapaari heard about LPG press / iron box before?,,true,"not(selected(${_Iron_Box_Type}, 'lpg'))",,,,
select_one vm3ze86,Got_to_know_about_LPG,How did the vyapaari hear about the LPG press / iron box?,,true,${Vyapaari_lpg_awareness} = 'yes',,,,
